AR_A
808,457,806,498,765,496,767,455,262.629,Primary
664,373,653,475,552,465,563,363,262.885,Secondary
841,473,837,513,797,510,801,469,262.943,Primary
733,389,717,491,617,475,633,374,263.195,Secondary
868,479,862,520,823,514,829,473,263.242,Primary
769,421,745,521,647,497,671,398,263.485,Secondary
883,492,873,532,835,522,844,483,263.53,Primary
776,430,747,529,651,501,679,402,263.776,Secondary
886,496,874,535,836,524,847,485,263.84,Primary
757,431,722,528,626,493,662,396,264.103,Secondary
878,496,864,535,826,521,840,483,264.133,Primary
727,426,684,520,591,478,633,384,264.411,Secondary
866,494,849,531,812,515,829,477,264.473,Primary
685,413,638,505,546,458,592,366,264.769,Secondary
849,489,831,525,794,507,813,470,264.821,Primary
638,406,583,495,495,440,550,351,265.091,Secondary
830,486,809,521,774,500,796,464,265.183,Primary
600,401,538,486,454,424,516,339,265.451,Secondary
815,484,791,517,757,493,781,460,265.524,Primary
566,406,501,487,418,421,484,340,265.749,Secondary
801,486,776,518,743,492,769,460,265.842,Primary
540,411,467,486,391,413,464,337,266.097,Secondary
791,488,762,518,732,489,761,459,266.176,Primary
513,431,433,500,363,421,443,352,266.474,Secondary
780,496,748,523,721,492,753,465,266.515,Primary
488,451,405,516,338,433,422,368,266.797,Secondary
770,504,737,530,711,497,744,471,266.872,Primary
451,457,361,514,302,425,392,367,267.13,Secondary
756,506,720,529,696,494,732,471,267.241,Primary
451,469,356,520,304,427,400,377,267.516,Secondary
755,511,717,531,698,494,735,475,267.584,Primary
463,461,365,505,320,410,418,366,267.903,Secondary
760,508,721,525,704,488,742,470,267.927,Primary
472,457,372,495,333,396,434,359,268.207,Secondary
764,506,724,521,709,482,749,468,268.27,Primary
498,454,395,483,366,382,468,353,268.578,Secondary
774,505,733,517,722,477,762,465,268.64,Primary
533,458,430,480,408,377,511,356,268.96,Secondary
788,507,747,515,738,475,779,466,268.978,Primary
561,466,458,482,442,379,545,363,269.259,Secondary
800,510,758,516,752,476,793,469,269.344,Primary
595,467,491,473,484,370,589,363,269.64,Secondary
813,510,772,513,769,472,811,469,269.686,Primary
622,487,519,485,520,382,624,383,269.942,Secondary
824,518,783,517,784,477,825,477,270.021,Primary
636,498,533,492,540,388,643,395,270.308,Secondary
830,523,789,520,791,479,832,482,270.376,Primary
656,499,554,484,569,382,671,397,270.641,Secondary
838,523,797,517,803,477,844,483,270.72,Primary
660,514,560,490,584,390,684,413,270.997,Secondary
840,529,800,520,809,480,849,489,271.087,Primary
652,524,553,493,583,395,682,425,271.347,Secondary
836,533,797,521,809,482,848,494,271.423,Primary
636,524,539,487,576,391,672,427,271.723,Secondary
830,533,791,518,806,480,844,495,271.809,Primary
606,529,513,483,558,390,652,435,272.103,Secondary
818,535,781,517,799,480,836,498,272.179,Primary
575,536,485,484,537,394,627,446,272.473,Secondary
805,538,769,517,790,482,826,502,272.512,Primary
542,541,455,483,512,396,600,454,272.788,Secondary
792,540,758,517,780,483,815,506,272.883,Primary
511,534,429,469,493,387,576,451,273.181,Secondary
780,537,747,511,772,479,805,504,273.246,Primary
478,539,401,467,473,391,550,463,273.557,Secondary
767,539,736,510,765,480,795,509,273.632,Primary
454,551,383,473,461,403,532,481,273.92,Secondary
757,544,729,512,760,486,788,516,273.981,Primary
434,550,368,468,451,403,517,485,274.313,Secondary
749,543,723,511,756,485,782,518,274.383,Primary
