rgvX,rgvY,Time
16.348535537719727,37.336605072021484,253.426
16.42159080505371,37.32170867919922,253.536
16.340421676635742,37.21072769165039,253.645
16.308326721191406,37.17032241821289,253.739
16.33022117614746,37.24931716918945,253.86
16.34130096435547,37.244163513183594,253.956
16.300296783447266,37.11581802368164,254.078
16.318740844726562,37.105567932128906,254.19
16.36305046081543,37.160037994384766,254.288
16.349163055419922,37.146427154541016,254.399
16.323335647583008,37.12395095825195,254.494
16.353899002075195,37.02937698364258,254.614
16.31206512451172,37.02153778076172,254.724
16.34552764892578,37.08265686035156,254.829
16.345333099365234,37.09003829956055,254.931
16.310453414916992,37.074432373046875,255.035
16.388736724853516,37.06867980957031,255.163
16.333383560180664,37.05715560913086,255.269
16.369998931884766,37.11777114868164,255.371
16.35845184326172,37.11075973510742,255.47
16.438884735107422,37.10302734375,255.581
16.365604400634766,37.12533187866211,255.678
16.33177375793457,37.10764694213867,255.793
16.337852478027344,37.12006759643555,255.895
16.326025009155273,37.112606048583984,255.996
16.37764549255371,37.16061782836914,256.124
16.330944061279297,37.19938278198242,256.238
16.293916702270508,37.2027702331543,256.341
16.308982849121094,37.22199249267578,256.449
16.353233337402344,37.243560791015625,256.555
16.293140411376953,37.29648208618164,256.655
16.261388778686523,37.27494812011719,256.761
16.21489715576172,37.281551361083984,256.835
16.23754119873047,37.2904052734375,256.923
16.238025665283203,37.278961181640625,257.036
16.240909576416016,37.29215621948242,257.151
16.22288703918457,37.30671310424805,257.259
16.158409118652344,37.26987075805664,257.361
16.196929931640625,37.29904556274414,257.471
16.224538803100586,37.23876953125,257.573
16.19029998779297,37.24412155151367,257.67
16.20624351501465,37.260711669921875,257.779
16.14825439453125,37.240074157714844,257.891
16.189735412597656,37.255828857421875,257.999
16.236188888549805,37.168270111083984,258.115
16.216571807861328,37.17136764526367,258.212
16.163930892944336,37.173179626464844,258.328
16.197412490844727,37.1962890625,258.446
16.229938507080078,37.18355941772461,258.532
16.27513885498047,37.108970642089844,258.648
16.289209365844727,37.06986999511719,258.771
16.240863800048828,37.087215423583984,258.862
16.280290603637695,37.10023498535156,258.963
16.348371505737305,37.01891326904297,259.073
16.32882308959961,37.01726531982422,259.187
16.345449447631836,37.01945114135742,259.293
16.29987144470215,37.02490234375,259.408
16.325395584106445,37.03289031982422,259.516
16.365848541259766,37.008872985839844,259.601
16.346651077270508,37.012428283691406,259.734
16.318864822387695,36.998409271240234,259.847
16.33151626586914,37.00840759277344,259.945
16.414403915405273,36.999961853027344,260.069
16.379695892333984,36.97660446166992,260.186
16.385398864746094,36.964576721191406,260.295
16.334041595458984,36.993309020996094,260.4
16.345298767089844,36.99679946899414,260.511
16.374849319458008,37.01646041870117,260.624
