rgvX,rgvY,Time
20.70772933959961,20.340065002441406,Fine,129.436
20.655868530273438,20.360301971435547,Fine,129.539
20.695762634277344,20.309072494506836,Fine,129.642
20.661640167236328,20.31857681274414,Fine,129.745
20.613916397094727,20.299427032470703,Fine,129.846
20.598831176757812,20.437192916870117,Fine,129.95
20.55821990966797,20.469343185424805,Fine,130.057
20.547998428344727,20.51105499267578,Fine,130.16
20.526626586914062,20.532398223876953,Fine,130.265
20.479833602905273,20.61522674560547,Fine,130.369
20.511384963989258,20.778400421142578,Fine,130.487
20.486177444458008,20.817766189575195,Fine,130.59
20.4163818359375,20.939716339111328,Fine,130.696
20.445735931396484,20.94455909729004,Fine,130.798
20.47085952758789,21.006488800048828,Fine,130.906
20.471229553222656,21.21703338623047,Fine,131.01
20.51129150390625,21.210479736328125,Fine,131.131
20.49581527709961,21.353290557861328,Fine,131.238
20.559707641601562,21.40472412109375,Fine,131.343
20.472505569458008,21.582962036132812,Fine,131.449
20.537517547607422,21.619081497192383,Fine,131.553
20.651260375976562,21.63611602783203,Fine,131.659
20.584930419921875,21.84090805053711,Fine,131.759
20.669631958007812,21.89495277404785,Fine,131.864
20.512998580932617,22.091596603393555,Fine,131.963
20.66599464416504,22.1201171875,Fine,132.065
20.76836585998535,22.165071487426758,Fine,132.169
20.596025466918945,22.236228942871094,Fine,132.302
20.654945373535156,22.34336280822754,Fine,132.402
20.37763023376465,22.422706604003906,Fine,132.519
20.540157318115234,22.404077529907227,Fine,132.623
20.342445373535156,22.558813095092773,Fine,132.725
20.444440841674805,22.553606033325195,Fine,132.832
20.12485694885254,22.700660705566406,Fine,132.941
20.243019104003906,22.664730072021484,Fine,133.045
20.347761154174805,22.607561111450195,Fine,133.149
20.250410079956055,22.49101448059082,Fine,133.26
20.20663070678711,22.4912166595459,Fine,133.363
20.02060890197754,22.62529182434082,Fine,133.469
20.093669891357422,22.631166458129883,Fine,133.573
20.145198822021484,22.709110260009766,Fine,133.677
20.183059692382812,22.87088966369629,Fine,133.79
20.13655662536621,23.013872146606445,Fine,133.893
20.061826705932617,23.22922134399414,Fine,134.0
20.031457901000977,23.19682502746582,Fine,134.105
20.031723022460938,23.421371459960938,Fine,134.23
20.04553985595703,23.45305633544922,Fine,134.338
19.80479621887207,23.645668029785156,Fine,134.443
19.815767288208008,23.722511291503906,Fine,134.55
19.877044677734375,23.656635284423828,Fine,134.655
19.73692512512207,23.85513687133789,Fine,134.761
19.7833309173584,23.925277709960938,Fine,134.874
19.565153121948242,24.094928741455078,Fine,134.981
19.575204849243164,23.970394134521484,Fine,135.077
19.68019676208496,23.961631774902344,Fine,135.194
19.39883041381836,24.086524963378906,Fine,135.305
19.422138214111328,24.08919334411621,Fine,135.405
19.19760513305664,24.23813819885254,Fine,135.517
19.24089813232422,24.175813674926758,Fine,135.624
18.998538970947266,24.328779220581055,Fine,135.731
19.041242599487305,24.23684310913086,Fine,135.871
18.81855010986328,24.37209701538086,Fine,135.996
18.891782760620117,24.26112174987793,Fine,136.148
18.719730377197266,24.29469108581543,Fine,136.266
18.703519821166992,24.207996368408203,Fine,136.377
18.488039016723633,24.21204948425293,Fine,136.481
18.521482467651367,24.105649948120117,Fine,136.584
18.46146583557129,24.127187728881836,Fine,136.691
18.39151954650879,24.042163848876953,Fine,136.795
18.375078201293945,24.071046829223633,Fine,136.897
18.28721809387207,23.98786163330078,Fine,137.002
18.355260848999023,23.891437530517578,Fine,137.1
18.40528106689453,23.947856903076172,Fine,137.209
18.386072158813477,23.887754440307617,Fine,137.312
18.382522583007812,23.795345306396484,Fine,137.427
18.31920623779297,23.727279663085938,Fine,137.531
18.36949920654297,23.60898208618164,Fine,137.634
18.38399887084961,23.64119529724121,Fine,137.737
18.360267639160156,23.61688995361328,Fine,137.846
18.233930587768555,23.594005584716797,Fine,137.966
18.303680419921875,23.471927642822266,Fine,138.091
18.362215042114258,23.441513061523438,Fine,138.197
18.316862106323242,23.45016860961914,Fine,138.308
18.305686950683594,23.392908096313477,Fine,138.42
18.194580078125,23.413803100585938,Fine,138.528
18.25155258178711,23.317598342895508,Fine,138.64
18.228418350219727,23.307218551635742,Fine,138.742
18.211605072021484,23.334348678588867,Fine,138.847
18.021196365356445,23.384531021118164,Fine,138.965
18.126243591308594,23.36174774169922,Fine,139.075
18.168415069580078,23.382532119750977,Fine,139.178
18.17091178894043,23.420856475830078,Fine,139.282
18.149707794189453,23.47665023803711,Fine,139.389
18.033946990966797,23.593910217285156,Fine,139.494
18.094242095947266,23.55148696899414,Fine,139.595
18.21144676208496,23.522686004638672,Fine,139.696
18.168704986572266,23.59575843811035,Fine,139.806
18.129682540893555,23.624053955078125,Fine,139.927
18.125577926635742,23.745445251464844,Fine,140.041
18.14801025390625,23.746788024902344,Fine,140.162
18.16499137878418,23.664501190185547,Fine,140.267
18.135793685913086,23.70955467224121,Fine,140.374
18.087162017822266,23.80623435974121,Fine,140.477
18.17281723022461,23.824575424194336,Fine,140.603
18.23583221435547,23.742958068847656,Fine,140.708
18.178653717041016,23.77909278869629,Fine,140.869
18.082265853881836,23.87767791748047,Fine,140.974
18.18793487548828,23.893117904663086,Fine,141.074
18.245792388916016,23.796709060668945,Fine,141.191
18.185842514038086,23.81312370300293,Fine,141.292
18.183258056640625,23.84423065185547,Fine,141.396
18.178550720214844,23.94456672668457,Fine,141.526
18.242008209228516,23.9653377532959,Fine,141.637
18.18532371520996,23.871049880981445,Fine,141.768
18.2196102142334,23.908174514770508,Fine,141.87
18.2041015625,23.973217010498047,Fine,141.974
18.262937545776367,23.988256454467773,Fine,142.081
18.21240234375,23.894378662109375,Fine,142.185
18.198246002197266,23.909648895263672,Fine,142.305
18.209875106811523,23.914302825927734,Fine,142.41
